effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,piano,piano_EQ_peaceful_0.6.wav,peaceful,a peaceful sound,0.6,0.20157757,0.18878025,-0.012797326
eq,piano,piano_EQ_peaceful_0.8.wav,peaceful,a peaceful sound,0.8,0.20157757,0.21352851,0.01195094
eq,piano,piano_EQ_peaceful_1.0.wav,peaceful,a peaceful sound,1.0,0.20157757,0.19766799,-0.003909588
eq,piano,piano_EQ_sharp_0.2.wav,sharp,a sharp sound,0.2,0.043824356,0.029844401,-0.013979955
eq,piano,piano_EQ_sharp_0.4.wav,sharp,a sharp sound,0.4,0.043824356,0.0364169,-0.0074074566
eq,piano,piano_EQ_sharp_0.6.wav,sharp,a sharp sound,0.6,0.043824356,0.055155795,0.011331439
eq,piano,piano_EQ_sharp_0.8.wav,sharp,a sharp sound,0.8,0.043824356,0.06173921,0.017914854
eq,piano,piano_EQ_sharp_1.0.wav,sharp,a sharp sound,1.0,0.043824356,0.050613627,0.006789271
eq,piano,piano_EQ_smooth_0.2.wav,smooth,a smooth sound,0.2,0.22220033,0.23738053,0.0151802
eq,piano,piano_EQ_smooth_0.4.wav,smooth,a smooth sound,0.4,0.22220033,0.23168176,0.00948143
eq,piano,piano_EQ_smooth_0.6.wav,smooth,a smooth sound,0.6,0.22220033,0.24810071,0.025900379
eq,piano,piano_EQ_smooth_0.8.wav,smooth,a smooth sound,0.8,0.22220033,0.25833362,0.03613329
eq,piano,piano_EQ_smooth_1.0.wav,smooth,a smooth sound,1.0,0.22220033,0.24593204,0.023731709
eq,piano,piano_EQ_soft_0.2.wav,soft,a soft sound,0.2,0.17826095,0.17715397,-0.0011069775
eq,piano,piano_EQ_soft_0.4.wav,soft,a soft sound,0.4,0.17826095,0.14980766,-0.02845329
eq,piano,piano_EQ_soft_0.6.wav,soft,a soft sound,0.6,0.17826095,0.16594122,-0.012319729
eq,piano,piano_EQ_soft_0.8.wav,soft,a soft sound,0.8,0.17826095,0.1845367,0.0062757432
eq,piano,piano_EQ_soft_1.0.wav,soft,a soft sound,1.0,0.17826095,0.18750454,0.009243593
