effect_type,source_type,filename,descriptor,target_text,scale,orig_target_sim,manip_target_sim,delta_target_sim
eq,piano,piano_EQ_gentle_1.0.wav,gentle,a gentle sound,1.0,0.24020036,0.25535575,0.01515539
eq,piano,piano_EQ_hard_0.2.wav,hard,a hard sound,0.2,-0.13095413,-0.13870883,-0.0077546984
eq,piano,piano_EQ_hard_0.4.wav,hard,a hard sound,0.4,-0.13095413,-0.14193001,-0.010975882
eq,piano,piano_EQ_hard_0.6.wav,hard,a hard sound,0.6,-0.13095413,-0.14546883,-0.0145147
eq,piano,piano_EQ_hard_0.8.wav,hard,a hard sound,0.8,-0.13095413,-0.14571181,-0.014757678
eq,piano,piano_EQ_hard_1.0.wav,hard,a hard sound,1.0,-0.13095413,-0.1453427,-0.014388561
eq,piano,piano_EQ_harsh_0.2.wav,harsh,a harsh sound,0.2,0.013834983,0.00967755,-0.0041574333
eq,piano,piano_EQ_harsh_0.4.wav,harsh,a harsh sound,0.4,0.013834983,0.010615809,-0.0032191742
eq,piano,piano_EQ_harsh_0.6.wav,harsh,a harsh sound,0.6,0.013834983,0.012290381,-0.0015446022
eq,piano,piano_EQ_harsh_0.8.wav,harsh,a harsh sound,0.8,0.013834983,0.015671857,0.0018368736
eq,piano,piano_EQ_harsh_1.0.wav,harsh,a harsh sound,1.0,0.013834983,0.019407304,0.005572321
eq,piano,piano_EQ_heavy_0.2.wav,heavy,a heavy sound,0.2,-0.16168098,-0.17206283,-0.010381848
eq,piano,piano_EQ_heavy_0.4.wav,heavy,a heavy sound,0.4,-0.16168098,-0.17791902,-0.016238034
eq,piano,piano_EQ_heavy_0.6.wav,heavy,a heavy sound,0.6,-0.16168098,-0.18124396,-0.019562975
eq,piano,piano_EQ_heavy_0.8.wav,heavy,a heavy sound,0.8,-0.16168098,-0.18532076,-0.023639783
eq,piano,piano_EQ_heavy_1.0.wav,heavy,a heavy sound,1.0,-0.16168098,-0.18532354,-0.023642555
eq,piano,piano_EQ_loud_0.2.wav,loud,a loud sound,0.2,0.048528865,0.040373318,-0.008155547
eq,piano,piano_EQ_loud_0.4.wav,loud,a loud sound,0.4,0.048528865,0.036878765,-0.0116501
eq,piano,piano_EQ_loud_0.6.wav,loud,a loud sound,0.6,0.048528865,0.03676538,-0.011763483
eq,piano,piano_EQ_loud_0.8.wav,loud,a loud sound,0.8,0.048528865,0.037657775,-0.01087109
eq,piano,piano_EQ_loud_1.0.wav,loud,a loud sound,1.0,0.048528865,0.041762345,-0.0067665204
eq,piano,piano_EQ_mellow_0.2.wav,mellow,a mellow sound,0.2,0.3341708,0.33467737,0.0005065799
eq,piano,piano_EQ_mellow_0.4.wav,mellow,a mellow sound,0.4,0.3341708,0.33979434,0.005623549
eq,piano,piano_EQ_mellow_0.6.wav,mellow,a mellow sound,0.6,0.3341708,0.33367383,-0.0004969537
eq,piano,piano_EQ_mellow_0.8.wav,mellow,a mellow sound,0.8,0.3341708,0.33278966,-0.001381129
eq,piano,piano_EQ_mellow_1.0.wav,mellow,a mellow sound,1.0,0.3341708,0.33592424,0.0017534494
eq,piano,piano_EQ_peaceful_0.2.wav,peaceful,a peaceful sound,0.2,0.108406216,0.11051033,0.002104111
eq,piano,piano_EQ_peaceful_0.4.wav,peaceful,a peaceful sound,0.4,0.108406216,0.1152112,0.006804988
eq,piano,piano_EQ_peaceful_0.6.wav,peaceful,a peaceful sound,0.6,0.108406216,0.1203772,0.011970982
eq,piano,piano_EQ_peaceful_0.8.wav,peaceful,a peaceful sound,0.8,0.108406216,0.12697496,0.01856874
eq,piano,piano_EQ_peaceful_1.0.wav,peaceful,a peaceful sound,1.0,0.108406216,0.13261332,0.0242071
eq,piano,piano_EQ_sharp_0.2.wav,sharp,a sharp sound,0.2,0.08317982,0.08720608,0.004026264
eq,piano,piano_EQ_sharp_0.4.wav,sharp,a sharp sound,0.4,0.08317982,0.09436567,0.011185855
eq,piano,piano_EQ_sharp_0.6.wav,sharp,a sharp sound,0.6,0.08317982,0.101975664,0.018795848
eq,piano,piano_EQ_sharp_0.8.wav,sharp,a sharp sound,0.8,0.08317982,0.1125428,0.029362984
eq,piano,piano_EQ_sharp_1.0.wav,sharp,a sharp sound,1.0,0.08317982,0.12283019,0.039650373
eq,piano,piano_EQ_smooth_0.2.wav,smooth,a smooth sound,0.2,0.127265,0.12458953,-0.0026754737
eq,piano,piano_EQ_smooth_0.4.wav,smooth,a smooth sound,0.4,0.127265,0.122101605,-0.0051634014
eq,piano,piano_EQ_smooth_0.6.wav,smooth,a smooth sound,0.6,0.127265,0.11681553,-0.010449477
eq,piano,piano_EQ_smooth_0.8.wav,smooth,a smooth sound,0.8,0.127265,0.11884282,-0.008422188
eq,piano,piano_EQ_smooth_1.0.wav,smooth,a smooth sound,1.0,0.127265,0.12112747,-0.006137535
eq,piano,piano_EQ_soft_0.2.wav,soft,a soft sound,0.2,0.18008801,0.18091212,0.0008241087
eq,piano,piano_EQ_soft_0.4.wav,soft,a soft sound,0.4,0.18008801,0.18497998,0.004891962
eq,piano,piano_EQ_soft_0.6.wav,soft,a soft sound,0.6,0.18008801,0.19043428,0.010346264
eq,piano,piano_EQ_soft_0.8.wav,soft,a soft sound,0.8,0.18008801,0.19729176,0.017203748
eq,piano,piano_EQ_soft_1.0.wav,soft,a soft sound,1.0,0.18008801,0.20142785,0.021339834
eq,piano,piano_EQ_soothing_0.2.wav,soothing,a soothing sound,0.2,0.18911904,0.18895662,-0.00016242266
eq,piano,piano_EQ_soothing_0.4.wav,soothing,a soothing sound,0.4,0.18911904,0.19393739,0.00481835
eq,piano,piano_EQ_soothing_0.6.wav,soothing,a soothing sound,0.6,0.18911904,0.1978919,0.008772865
eq,piano,piano_EQ_soothing_0.8.wav,soothing,a soothing sound,0.8,0.18911904,0.2044378,0.015318766
eq,piano,piano_EQ_soothing_1.0.wav,soothing,a soothing sound,1.0,0.18911904,0.21463177,0.025512725
eq,piano,piano_EQ_tinny_0.2.wav,tinny,a tinny sound,0.2,0.11158938,0.11164743,5.8047473e-05
